,group_1.0,group_1.1,group_1.2,group_2.0,group_2.1,group_2.2,group_2.3,group_3.0,group_3.1,group_3.2,group_4.0,group_4.1,group_4.2
1067,62.401524,62.379433,62.408886,62.143875,61.974598,62.53405,62.57823,252.90318,253.29736,253.39908,63.233784,59.30647,44.468487
1068,62.445698,62.35735,62.460423,62.151234,61.96724,62.556137,62.62241,252.95404,253.31007,253.41179,63.093803,59.47533,44.149887
1069,62.489872,62.335262,62.51196,62.158596,61.95988,62.578228,62.66659,252.94131,253.31007,253.39908,62.953823,59.644196,43.831284
1070,62.31318,62.335262,62.556137,62.158596,61.981956,62.60032,62.688683,252.9286,253.31007,253.38637,63.307446,59.556076,43.831284
1071,62.430984,62.335262,62.49724,62.188038,62.011395,62.62241,62.7476,252.94131,253.31007,253.39908,63.388508,59.482655,43.968826
1072,62.548786,62.335262,62.438335,62.217484,62.040836,62.6445,62.80652,252.95404,253.31007,253.41179,63.469566,59.40923,44.106373
1073,62.66659,62.335262,62.379436,62.246925,62.070274,62.66659,62.865437,252.95404,253.31007,253.40543,63.55063,59.335808,44.243916
1074,62.335262,62.556137,62.335262,62.291096,61.628765,62.578228,62.224842,252.95404,253.31007,253.39908,64.01514,58.895496,44.34167
1075,62.36471,62.53405,62.35735,62.23221,61.72442,62.60768,62.357365,252.95404,253.31007,253.39273,64.47964,58.455185,44.439426
1076,62.394157,62.51196,62.379433,62.17332,61.820072,62.63714,62.489887,252.95404,253.31007,253.38637,63.043167,60.21857,43.22416
1077,62.423607,62.489872,62.40152,62.114433,61.915726,62.66659,62.62241,252.99219,253.31007,253.38637,61.606693,61.981956,42.008892
1078,62.633476,62.401527,62.324223,62.125473,62.037163,62.66659,62.65555,253.03033,253.31007,253.38637,62.512337,60.570793,43.00695
1079,62.84334,62.31318,62.246925,62.136513,62.158596,62.66659,62.688683,253.03033,253.31007,253.38637,63.417976,59.159626,44.005005
1080,62.710785,62.45675,62.269012,62.092354,62.0482,62.62241,62.556145,253.03033,253.31007,253.38637,63.36271,59.37988,44.04844
1081,62.578228,62.60032,62.291096,62.048195,61.9378,62.578228,62.423607,253.03033,253.28464,253.38637,63.307446,59.600132,44.091877
1082,62.53405,62.511963,62.346306,62.125477,61.970917,62.633453,62.556145,253.03033,253.25922,253.38637,63.075394,59.666225,43.972435
1083,62.489872,62.423607,62.40152,62.20276,62.004036,62.688683,62.688683,253.02185,253.26768,253.37788,62.84334,59.73232,43.852997
1084,62.401527,62.46778,62.40152,62.224842,61.981956,62.58928,62.78811,253.01338,253.27617,253.36942,63.10855,59.5671,43.972435
1085,62.31318,62.51196,62.40152,62.246925,61.95988,62.489872,62.887535,253.0049,253.28464,253.36093,63.373764,59.401882,44.091877
1086,62.51196,62.53405,62.335262,62.136513,61.981956,62.62241,62.556137,253.03033,253.25922,253.41179,63.55063,59.534046,44.091877
1087,62.20276,62.51196,62.489872,62.20276,62.004036,62.66659,62.688683,253.13205,253.25922,253.41179,64.103516,58.279144,45.13486
1088,62.51196,62.578228,62.31318,62.224842,61.981956,62.62241,62.31318,253.10663,253.23378,253.41179,62.66659,60.040817,43.657593
1089,62.51196,62.489872,62.379436,62.114433,61.95988,62.688683,62.46778,253.10663,253.23378,253.41179,63.307446,59.31378,44.222195
1090,62.688683,62.865437,62.048195,62.136513,61.89365,62.66659,62.489872,253.10663,253.23378,253.38637,63.39587,57.729206,46.89717
1091,62.556137,62.445694,62.35735,62.246925,61.981956,62.84334,62.51196,253.10663,253.25922,253.41179,63.39587,59.137604,44.46115
1092,62.489872,62.158596,62.688683,62.20276,62.20276,62.66659,62.777058,253.10663,253.25922,253.41179,63.373764,59.688255,43.570755
1093,62.51196,62.688683,62.224842,62.18068,61.981956,62.556137,62.578228,253.13205,253.23378,253.43723,66.9387,55.312763,47.92105
1094,62.754963,62.445694,62.335262,62.136513,62.048195,62.60032,62.688683,253.10663,253.25922,253.41179,63.196926,59.512016,43.939857
1095,62.20276,62.335262,62.66659,62.158596,61.95988,62.62241,62.578228,253.15749,253.25922,253.41179,63.196926,59.578102,43.91814
1096,62.489872,62.51196,62.246925,62.18068,61.915726,62.66659,62.489872,253.15749,253.20834,253.41179,63.39587,59.48999,44.157032
1097,62.62241,62.53405,62.246925,61.78327,61.95988,62.53405,62.865437,253.18292,253.23378,253.41179,60.63603,62.070274,42.030567
1098,62.66659,62.31318,62.335262,62.224842,62.158596,62.66659,62.688683,253.18292,253.23378,253.36093,62.66659,60.040817,43.418808
1099,62.46778,62.335262,62.60032,62.136513,61.981956,62.578228,62.489872,253.13205,253.25922,253.31007,63.04222,59.31378,44.28736
1100,62.688683,62.66659,62.246925,62.092354,62.158596,62.6445,62.688683,253.13205,253.28464,253.3355,63.196926,59.688255,43.939857
1101,62.66659,62.40152,62.26901,62.20276,62.026115,62.66659,62.556137,253.10663,253.23378,253.3355,63.196926,59.842487,44.070156
1102,62.26901,62.335262,62.66659,62.224842,61.95988,62.31318,62.66659,253.15749,253.23378,253.28464,63.21903,59.335808,44.243916
1103,62.379436,62.46778,62.46778,62.070274,61.8495,62.60032,62.31318,253.18292,253.23378,253.31007,62.84334,60.17306,43.570755
1104,62.46778,62.379436,62.51196,62.136513,61.981956,62.60032,62.556137,253.18292,253.23378,253.31007,63.02012,59.842487,43.87471
1105,62.35735,62.335262,62.51196,62.158596,62.026115,62.60032,62.6445,253.15749,253.20834,253.28464,61.253624,62.224842,40.990547
1106,62.51196,62.556137,62.335262,62.20276,61.981956,62.66659,62.489872,253.18292,253.25922,253.3355,63.661182,59.48999,44.178753
1107,62.31318,62.379436,62.489872,62.18068,61.739124,62.335262,62.489872,253.15749,253.20834,253.23378,61.981956,61.165375,43.310287
1108,62.423607,62.379436,62.31318,62.246925,61.95988,62.379436,62.578228,253.13205,253.23378,253.25922,63.39587,58.87339,44.808823
1109,62.62241,62.40152,62.291096,62.224842,61.827423,62.66659,62.40152,253.15749,253.25922,253.25922,63.196926,59.335808,43.896427
1110,62.688683,62.66659,62.136513,62.20276,62.048195,62.84334,62.865437,253.13205,253.15749,253.25922,63.39587,59.137604,44.28736
1111,62.445694,62.489872,62.40152,62.070274,61.871574,62.688683,62.556137,253.10663,253.15749,253.23378,63.57274,59.48999,44.439426
1112,62.31318,62.423607,62.556137,62.31318,62.136513,62.6445,62.66659,253.10663,253.15749,253.23378,63.417976,59.335808,44.005005
1113,62.6445,62.31318,62.246925,62.092354,61.981956,62.777058,62.379436,253.10663,253.13205,253.23378,63.06432,59.820454,43.939857
1114,62.445694,62.46778,62.423607,62.114433,62.004036,62.6445,62.51196,253.10663,253.18292,253.23378,63.351658,59.71029,43.570755
1115,62.35735,62.60032,62.31318,62.246925,61.95988,62.754963,62.93173,253.10663,253.15749,253.25922,63.4843,59.093563,44.439426
1116,62.335262,62.578228,62.26901,62.246925,61.981956,62.66659,62.53405,253.10663,253.13205,253.13205,61.739124,61.95988,41.33711
1117,62.35735,62.379436,62.489872,62.092354,62.070274,62.66659,62.46778,253.13205,253.15749,253.18292,63.10852,59.48999,44.070156
1118,62.66659,62.423607,62.335262,62.18068,62.224842,62.66659,62.865437,253.13205,253.10663,253.18292,63.21903,59.203667,44.091877
1119,62.46778,62.6445,62.31318,62.092354,61.981956,62.53405,62.489872,253.10663,253.08119,253.15749,63.838093,58.87339,44.265636
1120,62.246925,62.688683,62.31318,62.092354,61.78327,62.688683,62.246925,253.05576,253.05576,253.10663,63.92656,59.159626,44.091877
1121,62.578228,62.445694,62.335262,62.158596,61.8495,62.66659,62.6445,253.10663,253.05576,253.15749,63.04222,59.48999,44.46115
1122,62.545094,62.556145,62.280052,62.19172,61.915726,62.65555,62.52301,253.10663,253.05576,253.15749,63.550747,59.324806,43.92913
1123,62.51196,62.66659,62.224842,62.224842,61.981956,62.6445,62.40152,253.10663,253.05576,253.15749,64.05927,59.159626,43.397106
1124,62.51196,62.578228,62.291096,62.136513,61.95988,62.821247,62.66659,253.10663,253.05576,253.15749,63.373764,59.512016,44.091877
1125,62.48987,62.545094,62.357353,62.18068,61.915726,62.74392,62.62241,253.10663,253.05576,253.1702,63.45114,58.88458,44.61337
1126,62.46778,62.51196,62.423607,62.224842,61.871574,62.66659,62.578228,253.10663,253.05576,253.18292,63.52852,58.25714,45.13486
1127,62.754963,62.489872,62.070274,62.136513,61.871574,62.62241,62.489872,253.10663,253.05576,253.13205,63.39587,58.98347,44.352528
1128,62.611374,62.47883,62.191727,62.092354,61.926765,62.65555,62.523003,253.10663,253.06848,253.14478,63.230095,59.06054,44.233063
1129,62.46778,62.46778,62.31318,62.048195,61.981956,62.688683,62.556137,253.10663,253.08119,253.15749,63.06432,59.137604,44.113594
1130,62.51196,62.60032,62.31318,62.20276,61.981956,62.6445,62.46778,253.13205,253.10663,253.18292,63.838093,59.22569,44.569786
1131,62.589275,62.545097,62.235886,62.18068,62.026115,62.66659,62.53405,253.11934,253.06848,253.1702,62.86587,59.89778,43.983444
1132,62.66659,62.489872,62.158596,62.158596,62.070274,62.688683,62.60032,253.10663,253.03033,253.15749,61.89365,60.569878,43.397106
1133,62.46778,62.40152,62.51196,62.158596,61.981956,62.66659,62.51196,253.03033,252.97948,253.15749,64.14776,58.917423,44.374252
1134,62.43465,62.368393,62.523003,62.213802,62.059235,62.66659,62.75499,253.03033,252.97948,253.11934,63.771812,58.49928,44.83065
1135,62.40152,62.335262,62.53405,62.26901,62.136513,62.66659,62.99802,253.03033,252.97948,253.08119,63.39587,58.081135,45.28705
1136,62.489872,62.51196,62.423607,62.114433,61.981956,62.688683,62.51196,253.13205,253.03033,253.10663,63.38482,58.840633,44.678604
1137,62.500916,62.523003,62.39048,62.18068,62.015076,62.710777,62.64451,253.0939,253.01761,253.10663,63.373764,59.600132,44.070156
1138,62.51196,62.53405,62.35735,62.246925,62.048195,62.73287,62.777058,253.05576,253.0049,253.10663,64.45751,57.377388,46.548832
1139,62.42361,62.611366,62.335266,62.20276,62.037155,62.666595,62.721825,253.03033,253.0049,253.08119,62.061867,60.596684,43.42329
