,group_4.0,group_4.1,group_4.2
396,63.373764,59.688255,43.570755
397,62.953823,59.864525,43.722725
398,62.79917,60.158447,43.389973
399,62.644524,60.452366,43.05722
400,62.489872,60.74629,42.72447
401,63.57274,59.335808,43.91814
402,63.513783,59.26974,44.157085
403,63.454826,59.20367,44.396027
404,63.39587,59.137604,44.63497
405,63.174847,59.269745,44.363426
406,62.953823,59.401882,44.091877
407,63.163795,59.456947,43.918156
408,63.373764,59.512016,43.744434
409,63.373764,59.4129,43.842148
410,63.373764,59.31378,43.939857
411,63.207993,59.225693,44.200504
412,63.04222,59.137604,44.46115
413,63.04222,59.842487,44.200474
414,63.57274,59.049526,44.28736
415,63.130623,59.401882,44.200474
416,63.32957,59.456947,44.135315
417,63.52852,59.512016,44.070156
418,63.462196,59.24774,44.124454
419,63.39587,58.98347,44.178753
420,63.36271,59.24774,44.135315
421,63.32955,59.512016,44.091877
422,63.70547,59.335823,43.918156
423,64.08139,59.159626,43.744434
424,62.578228,59.754353,44.113594
425,61.628765,60.724236,41.662113
426,63.373764,59.512016,43.744434
427,65.49803,58.455185,43.22348
428,63.373764,59.600132,43.787857
429,63.196926,59.335808,44.265636
430,63.373764,59.35783,43.91814
431,64.78948,59.159626,43.570755
432,63.72752,59.24771,43.744434
433,63.10852,59.401882,44.265636
434,62.887535,59.666225,44.113594
435,63.02012,59.401882,44.113594
436,63.4843,58.961456,44.46115
437,63.32955,59.578102,44.026722
438,63.55063,59.159626,44.135315
439,63.21903,59.644196,44.222195
440,62.51196,61.452213,41.662113
441,62.688683,59.666225,43.766148
442,63.21903,59.864525,43.766148
443,63.57274,58.741306,44.439426
444,62.710777,59.996742,43.766148
445,63.03122,59.69931,44.059338
446,63.351658,59.401882,44.352528
447,63.417976,59.18165,44.005005
448,60.54783,62.777058,40.62244
449,63.04222,59.688255,44.113594
450,63.92656,58.631252,43.744434
451,63.39587,59.159626,44.28736
452,63.373764,60.74629,41.662113
453,62.799152,59.996742,43.505634
454,63.351658,59.48999,44.439426
455,63.32955,59.43492,44.233074
456,63.307446,59.379856,44.026722
457,63.373764,59.159626,44.005005
458,61.540485,61.871574,41.683784
459,62.634003,60.691795,42.62727
460,63.72752,59.512016,43.570755
461,60.569878,61.95988,41.857162
462,61.327698,61.320194,42.464542
463,62.08552,60.680504,43.071922
464,62.84334,60.040817,43.679302
465,61.606693,61.981956,40.36268
466,62.67816,60.427673,42.22728
467,63.749634,58.87339,44.091877
468,63.72752,59.512016,43.91814
469,63.462223,59.501003,43.929
470,63.196926,59.48999,43.939857
471,63.04222,59.137604,44.46115
472,63.130623,59.512016,44.04844
473,62.36866,60.50418,43.38645
474,61.606693,61.49635,42.72447
475,61.518417,60.658077,43.245182
476,63.508224,59.204636,43.321144
477,65.49803,57.751198,43.397106
478,61.95988,60.922726,42.008892
479,62.489998,60.250412,43.115543
480,63.02012,59.578102,44.222195
481,63.02012,59.63318,43.95075
482,63.02012,59.688255,43.679302
483,62.97592,59.67724,43.98333
484,62.93173,59.666225,44.28736
485,64.43538,59.159626,43.744434
486,66.20705,56.388515,47.049603
487,63.130623,59.137604,44.178753
488,62.93173,59.864525,43.852997
489,61.95988,62.158596,41.662113
490,64.78948,59.512016,43.049885
491,61.95988,61.606693,41.857162
492,61.981956,60.54783,43.766148
493,62.865437,59.842487,44.113594
494,63.661182,58.895405,44.439426
495,62.953823,59.29176,44.374252
496,63.04222,59.137604,44.63497
497,63.06432,59.776386,44.113594
498,63.351658,59.42391,44.005005
499,62.865437,59.48999,44.28736
500,63.174824,59.600132,44.113594
501,63.373764,59.864525,43.852997
502,62.865437,59.31378,44.330807
503,63.661182,58.455185,44.96096
504,62.97592,59.820454,43.852997
505,63.04222,59.137604,44.46115
506,63.92656,58.60924,44.917492
507,60.702183,60.90067,44.113594
508,63.661182,58.895405,44.091877
509,62.84334,60.569878,42.963097
510,64.43538,58.455185,45.13486
511,63.02012,59.512016,43.22348
512,63.4843,59.335808,43.744434
513,63.39587,59.049526,44.439426
514,63.72752,59.159626,44.091877
515,63.373764,59.29176,43.787857
516,63.749634,57.729206,46.02654
517,63.196926,60.569878,42.37746
518,63.373764,59.688255,43.744434
519,63.661182,59.578102,43.91814
520,63.373764,59.62216,43.787857
521,62.93173,59.445934,43.939857
522,60.54783,63.39587,40.276104
523,62.060284,61.090603,42.26001
524,63.57274,58.785336,44.243916
525,63.705406,59.24771,44.091877
526,63.605907,59.24771,44.04844
527,63.50641,59.24771,44.005005
528,63.749634,59.864525,43.049885
529,63.5617,59.600166,43.744656
530,63.373764,59.335808,44.439426
531,63.462193,59.31378,43.787857
532,63.07544,59.721382,43.863857
533,62.688683,60.12898,43.939857
534,62.88755,59.85354,43.97243
535,63.08642,59.578102,44.005005
536,62.578228,60.26123,43.766148
537,62.721832,59.87561,44.157104
538,62.865437,59.48999,44.548058
539,63.307446,59.578102,44.091877
540,63.219032,59.677246,43.787903
541,63.130623,59.776386,43.483925
542,63.285343,59.137604,44.46115
543,64.38486,58.016293,45.549072
544,65.484375,56.89498,46.636993
545,66.58389,55.77367,47.724915
546,63.373764,59.578102,43.592464
547,63.617016,58.844532,44.81018
548,63.860264,58.11096,46.0279
549,64.103516,57.377388,47.245617
550,63.871292,58.26851,45.668747
551,63.639072,59.159626,44.091877
552,63.38485,59.280754,44.146175
553,63.130623,59.401882,44.200474
554,63.44013,59.368843,43.972454
555,63.749634,59.335808,43.744434
556,63.28544,59.423912,43.75529
557,62.821247,59.512016,43.766148
558,62.74392,59.677254,43.853004
559,62.66659,59.842487,43.939857
560,63.39587,58.961456,44.439426
561,62.66659,59.48999,44.113594
