,group_2.0,group_2.1,group_2.2,group_2.3
477,62.158596,62.026115,62.489872,62.688683
478,62.092354,61.8495,62.53405,62.40152
479,62.081314,61.90469,62.589275,62.45674
480,62.070274,61.95988,62.6445,62.51196
481,62.070274,61.8495,62.489872,62.46778
482,62.040836,61.88629,62.55614,62.541416
483,62.011395,61.923088,62.622414,62.615047
484,61.981956,61.95988,62.688683,62.688683
485,62.136513,61.95988,62.66659,62.578228
486,62.20276,62.136513,62.51196,63.08642
487,62.20276,61.915726,62.688683,62.73287
488,62.004036,61.805347,62.62241,62.445694
489,61.95988,61.78327,62.423607,62.489872
490,62.048195,61.915726,62.578228,62.51196
491,62.048195,61.981956,62.66659,62.51196
492,62.092354,62.158596,62.51196,62.688683
493,62.136513,61.95988,62.688683,62.60032
494,62.158596,61.871574,62.578228,62.66659
495,62.070274,61.9378,62.578228,62.53405
496,62.048195,61.981956,62.688683,62.20276
497,62.114433,61.95988,62.578228,62.62241
498,62.291096,61.95988,62.6445,63.02012
499,61.981956,62.31318,62.66659,62.887535
500,62.18068,61.95988,62.51196,62.26901
501,62.070274,62.070274,62.578228,62.688683
502,62.070274,61.981956,62.60032,62.60032
503,61.95988,62.136513,62.578228,62.99802
504,62.114433,61.95988,62.688683,62.53405
505,62.158596,61.95988,62.66659,62.84334
506,62.136513,61.981956,62.66659,62.35735
507,62.070274,61.915726,62.688683,62.40152
508,62.246925,62.070274,62.66659,62.60032
509,62.158596,61.95988,62.578228,62.60032
510,62.18068,61.95988,62.556137,62.51196
511,62.158596,61.95988,62.688683,62.51196
512,62.026115,61.9378,62.51196,62.423607
513,62.158596,61.89365,62.688683,62.60032
514,62.114433,61.95988,62.66659,62.6445
515,62.136513,61.981956,62.688683,62.335262
516,62.070274,61.95988,62.66659,62.777058
517,62.114433,61.95988,62.66659,62.53405
518,62.158596,61.628765,62.66659,62.092354
519,61.89365,61.95988,62.66659,62.335262
520,62.114433,61.915726,62.578228,62.40152
521,62.136513,61.69498,62.777058,62.26901
522,62.31318,61.915726,62.51196,62.688683
523,62.224846,62.037163,62.60032,62.710777
524,62.136513,62.158596,62.688683,62.73287
525,62.18068,61.95988,62.578228,62.73287
526,62.16964,61.95988,62.611366,62.622414
527,62.158596,61.95988,62.6445,62.51196
528,62.158596,61.981956,62.66659,62.60032
529,62.147552,61.970917,62.65555,62.58927
530,62.136513,61.95988,62.6445,62.578228
531,62.18068,61.981956,62.578228,62.31318
532,62.125477,62.004036,62.633453,62.489883
533,62.070274,62.026115,62.688683,62.66659
534,62.18068,61.650837,62.688683,62.35735
535,62.158596,61.73913,62.633453,62.40152
536,62.136513,61.827423,62.578228,62.445694
537,62.136513,61.981956,62.578228,62.46778
538,62.114433,61.981956,62.633453,62.445694
539,62.092354,61.981956,62.688683,62.423607
540,62.147556,61.981956,62.677635,62.511963
541,62.20276,61.981956,62.66659,62.60032
542,62.048195,61.981956,62.777058,62.60032
543,62.084995,62.040836,62.740234,62.74762
544,62.121796,62.099716,62.703415,62.89492
545,62.158596,62.158596,62.66659,63.04222
546,62.224842,61.981956,62.66659,62.62241
547,62.20276,61.981956,62.615047,62.526695
548,62.18068,61.981956,62.563503,62.430977
549,62.158596,61.981956,62.51196,62.335262
550,62.158596,61.970917,62.589275,62.478836
551,62.158596,61.95988,62.66659,62.62241
552,62.103394,61.95988,62.754967,62.6445
553,62.048195,61.95988,62.84334,62.66659
554,62.048195,61.882614,62.766014,62.445717
555,62.048195,61.805347,62.688683,62.224842
556,62.092354,61.882614,62.6445,62.401535
557,62.136513,61.95988,62.60032,62.578228
558,62.147552,62.048195,62.73288,62.633453
559,62.158596,62.136513,62.865437,62.688683
560,62.158596,61.871574,62.688683,62.445694
561,62.158596,61.95988,62.66659,62.754963
562,62.048195,62.18068,62.66659,62.754963
563,62.158596,61.9378,62.66659,62.688683
564,62.092354,62.048195,62.6445,62.688683
565,62.048195,61.95988,62.578228,62.710777
566,62.136513,61.827423,62.60032,62.31318
567,62.114433,61.981956,62.6445,62.335262
568,62.092354,62.004036,62.60032,62.578228
569,62.136513,61.981956,62.60032,62.578228
570,62.158596,61.89365,62.60032,62.60032
571,62.114433,61.89365,62.60032,62.62241
572,62.048195,61.95988,62.754963,62.489872
573,62.158596,61.78327,62.66659,62.40152
574,61.95988,61.871574,62.6445,62.66659
575,62.224842,61.95988,62.53405,62.66659
576,62.136513,61.95988,62.60032,62.379436
577,62.026115,62.158596,62.66659,62.688683
578,62.114433,61.95988,62.60032,62.60032
579,62.18068,62.048195,62.60032,62.51196
580,62.158596,61.981956,62.578228,62.6445
581,62.092354,61.981956,62.66659,62.423607
582,62.246925,61.95988,62.754963,62.865437
583,62.114433,61.89365,62.379436,62.291096
584,62.246925,62.158596,62.578228,62.73287
585,62.31318,61.981956,62.51196,62.379436
586,62.26901,61.915726,62.578228,62.578228
587,62.136513,61.981956,62.688683,62.335262
588,62.136513,61.981956,62.60032,62.62241
589,62.103394,62.026115,62.6445,62.65555
590,62.070274,62.070274,62.688683,62.688683
591,62.048195,62.004036,62.66659,62.423607
592,62.059235,61.992996,62.62241,62.40152
593,62.070274,61.981956,62.578228,62.379436
594,61.981956,62.291096,62.489872,62.688683
595,62.059235,62.12549,62.58928,62.633453
596,62.136513,61.95988,62.688683,62.578228
597,62.136513,61.926765,62.6445,62.511963
598,62.136513,61.89365,62.60032,62.445694
599,62.048195,61.805347,62.578228,62.18068
600,61.992996,61.893654,62.578228,62.257973
601,61.9378,61.981956,62.578228,62.335262
602,62.158596,61.95988,62.60032,62.556137
603,62.213802,61.970917,62.58927,62.556137
604,62.26901,61.981956,62.578228,62.556137
605,62.246925,62.31318,62.66659,62.90963
606,62.12548,62.12549,62.66659,62.67766
607,62.004036,61.9378,62.66659,62.445694
608,62.114433,62.136513,62.688683,62.754963
609,62.129154,62.084995,62.651863,62.67396
610,62.143875,62.033474,62.615047,62.59296
611,62.158596,61.981956,62.578228,62.51196
612,62.26901,61.9378,62.66659,62.66659
613,62.254288,61.94516,62.615047,62.718143
614,62.239563,61.952522,62.563503,62.769695
615,62.224842,61.95988,62.51196,62.821247
616,62.18068,61.95988,62.567184,62.754967
